"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"A. Raja";"DMK";" 6";"Graduate Professional";"55";"49591024";"1424914";"Yes";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Arumukam, P.";"IND";" 3";"Illiterate";"43";"44000";"0";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Ashok Kumar, R";"BSP";"0";"10th Pass";"48";"1826000";"0";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"M. Thiyagaraja";"AIADMK";"0";"Graduate";"59";"12467318";"0";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Nagarajan, A.";"IND";" 1";"10th Pass";"36";"74000";"188995";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Raja, K.";"IND";"0";"10th Pass";"51";"1147696";"0";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Rajarathinam, M.";"IND";"0";"8th Pass";"55";"4692563";"1167871";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Rajenthiran, N.";"Makkal Needhi Maiam";"0";"Graduate Professional";"55";"56013763";"810218";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Ramaswamy, M.";"IND";"0";"Post Graduate";"66";"56129105";"0";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Subramani, M.";"IND";"0";"5th Pass";"56";"1486790";"335000";"No";"NILGIRIS";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
