"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Palanimanickam.S.S";"DMK";"0";"Graduate Professional";"68";"42452076";"2368600";"Yes";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Abdulbuhari.K";"IND";"0";"10th Pass";"42";"130000";"0";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Krishnakumar.N";"Naam Tamilar Katchi";"0";"12th Pass";"44";"4857567";"37000";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Murugesan.P";"IND";" 3";"Post Graduate";"62";"649749591";"363510252";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Muthuvel.S";"IND";"0";"Graduate Professional";"49";"3778000";"1008000";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Natarajan.N.R";"Tamil Maanila Congress (Moopanar)";"0";"Graduate Professional";"52";"152293009";"30542133";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Panasaiarangan.K.N";"Desiya Makkal Sakthi Katchi";"0";"10th Pass";"56";"259026";"70000";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Samantha.K.S";"IND";"0";"Others";"36";"301197";"270000";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Sampath Ramadoss";"Makkal Needhi Maiam";"0";"Post Graduate";"53";"9400851";"1375452";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Selvaraj.R";"IND";"0";"Post Graduate";"63";"8874369";"776000";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Stalin.R";"BSP";"0";"Graduate Professional";"26";"126000";"0";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
"Vijayakumar.T";"IND";"0";"10th Pass";"38";"242100";"650000";"No";"THANJAVUR";"TAMIL NADU";"2019";"Lok Sabha";"No Comment"
