"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr.Gaddam Ranjith Reddy";"TRS";"0";"Post Graduate";"54";"1634695131";"197007553";"Yes";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"A.A. Sab";"IND";"0";"12th Pass";"69";"2326979";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Anusha Keshavabhatla";"IND";"0";"Graduate Professional";"32";"9275000";"4600000";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"B. Janardhan Reddy";"BJP";"0";"Others";"58";"1197313405";"66870634";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Baswaiah Madiga";"Prajaa Swaraaj Party";"0";"10th Pass";"47";"2475117";"1242117";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Bennala Jul";"National Women";"0";"12th Pass";"34";"50000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Chepuri Raju";"Dalita Bahujana Party";"0";"5th Pass";"39";"15000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"G. Ravi Kumar Yadav";"IND";"0";"Post Graduate";"31";"91000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Gurram Papi Reddy";"Ambedkar National Congress";"0";"12th Pass";"43";"2152500";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Ija Venkatesh Goud";"Social Justice Party of India";"0";"Post Graduate";"43";"9799564";"2800000";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Jaidupally Yadaiah";"IND";"0";"5th Pass";"48";"1000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Konda Vishweshwar Reddy";"INC";" 1";"Graduate Professional";"59";"8950179170";"358127700";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Korra Pandu Naik";"Bahujan Mukti Party";"0";"10th Pass";"42";"10000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Kummari G";"Pyramid Party of India";"0";"10th Pass";"37";"485000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Nalla Prem Kuma";"Prem Janata Dal";"0";"8th Pass";"47";"500";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"P. Purushotham";"IND";"0";"Post Graduate";"38";"233000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Palamakula Madhu";"India Praja Bandhu Party";"0";"10th Pass";"38";"150932";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Ragam Sathesh Yadav";"AIFB";"0";"Post Graduate";"36";"40003000";"2000000";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Sanem Raju Goud";"IND";"0";"Graduate";"36";"2111000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"T. Durga Prasad";"IND";"0";"Post Graduate";"33";"252000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Vanam Sudhaka";"Marxist Communist Party of India (United)";"0";"Literate";"36";"705500";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Vijay Aarya";"BSP";"0";"Others";"42";"720193";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
"Yedla Suresh";"IND";"0";"10th Pass";"25";"103000";"0";"No";"CHEVELLA";"TELANGANA";"2019";"Lok Sabha";"No Comment"
