"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Amit Tripath";"Adhunik Bharat Party";"0";"Graduate";"33";"5961861";"3650000";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Arun Kuma";"IND";"0";"12th Pass";"33";"352000";"0";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ashok Paswa";"Sabhi Jan Party";"0";"Post Graduate";"42";"19041563";"0";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mahendra Singh Yadav";"Pragatishil Samajwadi Party (Lohia)";"0";"Graduate";"60";"63553139";"450000";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Manoj Gupta";"IND";"0";"10th Pass";"36";"51872";"0";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Neeraj Kumar Pasi Advocat";"Justice Party";"0";"Graduate Professional";"36";"4050471";"0";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Nisha";"BSP";"0";"Post Graduate";"46";"134448979";"13619617";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rajaram Pal";"INC";" 1";"Graduate Professional";"58";"19097262";"8600000";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ramgopal";"Rashtriya Janutthan Party";"0";"Post Graduate";"61";"2858000";"0";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Saurabh Mishra";"Bhartiya Shakti Chetna Party";"0";"Post Graduate";"26";"406427";"0";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sunil Kuma";"Aajad Bharat Party (Democratic)";"0";"Post Graduate";"46";"1183000";"0";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Vikas Tripath";"Bhartiya Lok Seva Dal";"0";"Illiterate";"40";"1141980";"0";"No";"AKBARPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
