"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rita Bahuguna Joshi";"BJP";" 6";"Doctorate";"69";"26919330";"1600000";"Yes";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Abhimanyu Singh Patel";"Pragatishil Samajwadi Party (Lohia)";"0";"Graduate Professional";"43";"6819643";"24672";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ajay Kuma";"IND";"0";"Graduate";"50";"22346181";"1958107";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ajeet Kumar Patel";"Pragatisheel Samaj Party";"0";"12th Pass";"31";"1881200";"0";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhawani Singh";"AAP";"0";"Illiterate";"46";"2678730";"0";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Gayatri Prasad";"Bhartiya Shakti Chetna Party";"0";"Post Graduate";"0";"18227000";"104000";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Girdhar Gopal Tripath";"CPI";"0";"Post Graduate";"77";"31397972";"308458";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Om Guru Charandas";"Sanatan Sanskriti Raksha Dal";"0";"10th Pass";"49";"246707";"0";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rabindra Kumar Srivastava";"IND";"0";"Graduate Professional";"48";"434127";"0";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rajendra Singh Patel";"SP";"0";"Graduate";"63";"292681002";"0";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ram Pal";"Parivartan Samaj Party";"0";"10th Pass";"47";"3238000";"250000";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shiv Dutt Shukla";"Annadata Party";"0";"12th Pass";"49";"460000";"0";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shiv Prasad";"Lok Gathbandhan Party";"0";"12th Pass";"63";"39331787";"1562481";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Yogesh Shukla";"INC";" 1";"12th Pass";"49";"4200199";"0";"No";"ALLAHABAD";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
