"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Upendra Singh Rawat";"BJP";" 1";"Post Graduate";"51";"18050127";"3171774";"Yes";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Asha Dev";"Lok Dal";"0";"8th Pass";"33";"105000";"50000";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Fool Dula";"Samdarshi Samaj Party";"0";"Illiterate";"39";"5634959";"0";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kalpana Rawat";"Bharat Prabhat Party";"0";"Graduate Professional";"32";"20693765";"0";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kishan Lal";"IND";"0";"5th Pass";"42";"6216451";"0";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Manju Dev";"IND";"0";"Literate";"32";"160000";"0";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Molhey Ram Rawat";"IND";"0";"10th Pass";"77";"225928";"35000";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Omka";"Bahujan Mukti Party";"0";"10th Pass";"33";"1280000";"0";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ram Sagar Rawat";"SP";" 5";"10th Pass";"68";"10294367";"127553";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Santosh Kuma";"Dr. Bhimrao Ambedkar Dal";"0";"Graduate";"40";"775000";"0";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Tanuj Punia";"INC";"0";"Graduate Professional";"34";"12572577";"27052";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Tarawat";"Awami Samta Party";"0";"5th Pass";"50";"968500";"610000";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Vinod Kuma";"Aam Janta Party (India)";"0";"8th Pass";"36";"3176312";"0";"No";"BARABANKI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
