"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Santosh Kumar Gangwar";"BJP";"0";"Graduate Professional";"70";"126356142";"13055209";"Yes";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhagwat Saran Gangwa";"SP";" 2";"12th Pass";"63";"31857876";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Jagpal";"Akhand Samaj Party";"0";"8th Pass";"41";"1406083";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Javed Kha";"IND";" 4";"Literate";"35";"1414000";"1300000";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Laeek Ahmad Mansoo";"Naitik Party";"0";"Literate";"52";"444925";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Manoj Vikat";"Bahujan Nyay Dal";" 1";"12th Pass";"45";"121000";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Nitin Moha";"IND";"0";"Post Graduate";"40";"359091";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Praveen Singh Aro";"INC";" 1";"Graduate Professional";"61";"1477686028";"46548771";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rabiya Akhta";"Khusro Sena Party";" 1";"Literate";"40";"7735000";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Raheesh Miya";"VANCHITSAMAJ INSAAF PARTY";"0";"Literate";"64";"2075047";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rakesh Agarwal Advocat";"IND";"0";"Post Graduate";"61";"81035000";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Saman Tah";"Pragatishil Samajwadi Party (Lohia)";"0";"Post Graduate";"26";"4382566";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Satish Kuma";"CPI";"0";"Graduate";"41";"7376969";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Syed Rashid Al";"IND";"0";"Post Graduate";"41";"10118000";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Usha Agarwal";"IND";"0";"Post Graduate";"64";"5857000";"0";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Yatendra Singh";"Bahujan Samyak Party (Mission)";"0";"Literate";"50";"19586551";"1174000";"No";"BAREILLY";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
