"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. Mahendra Nath Pandey";"BJP";"0";"Doctorate";"62";"33359734";"0";"Yes";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Arjun Pandey";"Atulya Bharat Party";"0";"Post Graduate";"66";"255000";"38000";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Byasmu";"Kanshiram Bahujan Dal";"0";"Post Graduate";"35";"194939";"0";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Jangbahadu";"Bhartiya Manav Samaj Party";"0";"12th Pass";"31";"10694000";"0";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Krishna Pratap Singh";"Samagra Utthan Party";"0";"Post Graduate";"47";"6803000";"104000";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Liyakat Al";"IND";"0";"Graduate Professional";"68";"11973165";"160626";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mahender Yadav";"Pragatisheel Manav Samaj Party";"0";"Graduate Professional";"63";"1810000";"0";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mahendra Pratap Singh";"Al-Hind Party";"0";"12th Pass";"67";"5008000";"0";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rajesh Vishwakarma";"Moulik Adhikar Party";"0";"12th Pass";"36";"2107000";"0";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ramgovind";"Suheldev Bhartiya Samaj Party";"0";"Graduate Professional";"32";"197703";"9917";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sanjay Singh Chauha";"SP";" 2";"Post Graduate";"43";"4015011";"369000";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shiv Kanya Kushwaha";"Jan Adhikar Party";" 2";"5th Pass";"52";"66018000";"24777000";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shivrat";"Prithviraj Janshakti Party";"0";"5th Pass";"67";"490000";"0";"No";"CHANDAULI";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
