"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr Ram Shankar Katheria";"BJP";" 12";"Doctorate";"54";"15154538";"7304616";"Yes";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ajay Kuma";"Bhartiya Jan Nayak Party";" 2";"Post Graduate";"35";"4205000";"0";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Akshash Krishna";"Pichhra Samaj Party";"0";"Graduate";"30";"343500";"0";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Arti Dev";"Mahasankalp Janta Party";"0";"12th Pass";"29";"3180000";"650000";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ashok Kumar Doha";"INC";"0";"Graduate";"45";"24398780";"1900000";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Dalveer Singh";"IND";"0";"Graduate";"26";"111321";"33000";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kamlesh Kuma";"SP";"0";"Graduate";"35";"11207526";"2190246";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Lalta Prasad";"Voters Party International";"0";"5th Pass";"54";"3546200";"40000";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Pooja";"IND";"0";"Graduate";"29";"11207526";"2190246";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sanjay Kuma";"IND";"0";"Graduate Professional";"46";"4364623";"0";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shambhu Dayal";"Pragatishil Samajwadi Party (Lohia)";" 2";"Graduate";"61";"42060422";"9949035";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sita";"Bhartiya Shakti Chetna Party";"0";"5th Pass";"0";"3030000";"0";"No";"ETAWAH";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
