"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kunwar Pushpendra Singh";"BJP";" 4";"Post Graduate";"45";"167159924";"35502582";"Yes";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Dilip Singh";"BSP";"0";"Graduate";"42";"161787422";"22026230";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kamlesh Kuma";"IND";"0";"Graduate";"26";"2715000";"675695";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kamta Prasad";"IND";"0";"12th Pass";"52";"6826000";"34000";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kedarnath";"Bahujan Mukti Party";"0";"Graduate Professional";"64";"23400000";"0";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Madhuraj";"IND";"0";"12th Pass";"30";"1100000";"0";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Pritam Singh";"INC";"0";"Post Graduate";"64";"28424501";"15460966";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rajesh";"IND";"0";"10th Pass";"53";"2205400";"0";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ram Gopal";"IND";"0";"Graduate";"55";"931130";"0";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sanjay Kumar Sahu";"IND";" 1";"Graduate";"43";"123746239";"12041195";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sarju Lal";"IND";"0";"8th Pass";"69";"4447262";"0";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Suresh Chandra";"Rashtriya Kranti Party";"0";"8th Pass";"39";"10022000";"265000";"No";"HAMIRPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
