"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Shyam Singh Yadav";"BSP";"0";"Post Graduate";"65";"140717620";"3577000";"Yes";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ajay Kumar Sharma";"Moulik Adhikar Party";"0";"Post Graduate";"41";"2329000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Anil";"Hum Sabki Party";"0";"10th Pass";"43";"2630000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ashok Kuma";"IND";"0";"Graduate";"51";"109283237";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Brijesh Kuma";"Suheldev Bhartiya Samaj Party";"0";"12th Pass";"29";"1981152";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Com. Ashok Kumar Kharwa";"SUCI(C)";"0";"Literate";"60";"2297800";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Deo Vrat Mishra";"INC";"0";"Graduate Professional";"48";"510960626";"12512381";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Krishna Pratap Singh";"BJP";"0";"Doctorate";"42";"113972361";"1751674";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Madhavendra Pushkar Singh";"IND";"0";"Graduate Professional";"38";"9232000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Motiudd";"Rashtriya Ulama Council";"0";"10th Pass";"35";"50000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Nav";"Voters Party International";"0";"Graduate";"30";"1021950";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Pradeep Kumar Pandey";"IND";" 3";"12th Pass";"32";"1868488";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rajesh Kuma";"Rashtriya Samaj Paksha";"0";"10th Pass";"43";"4402470";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rukamani Dev";"Pragatisheel Manav Samaj Party";"0";"Literate";"63";"612000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sangeeta Dev";"Pragatishil Samajwadi Party (Lohia)";"0";"12th Pass";"44";"4100000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sheshmani Maurya";"Hindusthan Nirman Dal";"0";"Post Graduate";"39";"496747";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shyamlal";"Bharat Prabhat Party";"0";"Post Graduate";"32";"3055000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sunil Kuma";"Rashtriya Jan Gaurav Party";"0";"Post Graduate";"33";"50000";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Vinod Kuma";"Andaman & Nicobar Janta Party";"0";"Graduate";"32";"4009970";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Vishok Kumar Vishwakarma";"Nationalist Janshakti Party";"0";"12th Pass";"47";"857517";"0";"No";"JAUNPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
