"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Brij Bhushan Sharan Singh";"BJP";" 4";"Graduate Professional";"62";"98905402";"61524736";"Yes";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Chandra Prakash Pandey";"Naitik Party";"0";"12th Pass";"0";"153000";"0";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Chandradev Ram Yadav";"BSP";" 3";"Post Graduate";"66";"17297000";"2000000";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Dhananjay Sharma";"Pragatishil Samajwadi Party (Lohia)";"0";"Graduate";"46";"1313579";"45680";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mu";"IND";"0";"Illiterate";"41";"0";"0";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Om Prakash Mishra";"IND";"0";"Graduate";"35";"680000";"0";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Pramod Kuma";"Samrat Ashok Sena Party";"0";"10th Pass";"39";"100000";"0";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Santosh";"Bharat Prabhat Party";"0";"Graduate Professional";"39";"60000";"0";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shiv Naraia";"IND";"0";"12th Pass";"36";"2765500";"0";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Umesh Kuma";"Rashtriya Jan Adhikar Party";"0";"Literate";"34";"2980000";"0";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"ajid";"Aam Janta Party (India)";"0";"Graduate";"52";"3533500";"0";"No";"KAISERGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
