"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Satyadev Pachauri";"BJP";"0";"Post Graduate";"71";"132382819";"31052190";"Yes";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Alok Kuma";"Sabhi Jan Party";" 5";"Post Graduate";"38";"402178";"0";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Balbir Singh Chandel";"SHS";"0";"Graduate Professional";"68";"666367383";"0";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Chandra Bhan Sankhwa";"Rashtriya Janmat Party";"0";"Graduate Professional";"56";"301109";"0";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Dilshad Ahmed";"IND";"0";"8th Pass";"38";"558566";"397848";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Javed Mohammad Kha";"IND";" 1";"12th Pass";"42";"500000";"0";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mukti Yadav";"Bharatiya Rashtriya Morcha";"0";"Post Graduate";"29";"400000";"0";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Poonam Shukla";"Bhartiya Shakti Chetna Party";"0";"Graduate";"32";"1771655";"0";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ram Gopal Uttam";"IND";"0";"Post Graduate";"69";"32955000";"110000";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ram Kuma";"SP";" 1";"Post Graduate";"61";"198048000";"610000";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rina";"Saaf Party";"0";"5th Pass";"31";"143460";"0";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shivam Kushwaha";"Aajad Bharat Party (Democratic)";"0";"Graduate";"27";"284407";"200000";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sriprakash Jaiswal";"INC";"0";"12th Pass";"74";"78641628";"0";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Triveni Narayan Jaiswal";"Adhunik Bharat Party";"0";"Post Graduate";"47";"2895507";"190000";"No";"KANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
