"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Hema Malini Dharmendra Deol";"BJP";"0";"Doctorate";"70";"2508270292";"131288062";"Yes";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Chattar Alias Chatrapal Singh Nishad";"Bahujan Mukti Party";"0";"Not Given";"48";"34000";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Dinesh Kumar Gautam";"Bhartiya Anarakshit Party";"0";"Post Graduate";"53";"36742543";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Jagvir Singh";"Pragatishil Samajwadi Party (Lohia)";"0";"Not Given";"40";"10800000";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Jasvant Singh Baghel";"Rashtriya Shoshit Samaj Party";"0";"10th Pass";"42";"69108182";"2440225";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Jasveer Singh";"Rashtriya Naujawan Dal";"0";"12th Pass";"45";"1686500";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mahesh Pathak";"INC";"0";"Graduate";"63";"356953188";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Narendra Singh";"RLD";" 2";"Graduate";"66";"216820285";"5708000";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Omprakash";"Swatantra Jantaraj Party";"0";"Graduate Professional";"31";"40000";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Phakkad Baba";"IND";"0";"Literate";"73";"12722";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Pramod Krishna";"IND";"0";"12th Pass";"48";"359000";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ramdas Tyag";"IND";"0";"Literate";"44";"255000";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ramdev Gautam";"Bhartiya Lok Seva Dal";"0";"12th Pass";"46";"4054925";"0";"No";"MATHURA";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
