"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Kaushal Kishore";"BJP";" 1";"Graduate";"59";"55530561";"0";"Yes";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"C.L. Verma";"BSP";" 1";"Post Graduate";"49";"83407710";"6808934";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ganesh Rawat";"Pragatishil Samajwadi Party (Lohia)";"0";"12th Pass";"46";"64381199";"4487364";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Jagdish Prasad Gautam";"Manavtawadi Samaj Party";"0";"Graduate";"52";"203514";"0";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Jagdish Rawat";"IND";"0";"12th Pass";"50";"36406534";"1207090";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Prabhawati Dev";"IND";"0";"Literate";"45";"8208579";"750000";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"R.K. Chaudhary";"INC";"0";"Graduate Professional";"60";"9185305";"0";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Radha Dev";"Peoples Party of India (Democratic)";"0";"8th Pass";"57";"40823586";"3185660";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ram Sagar Paas";"Samdarshi Samaj Party";"0";"Graduate";"38";"1575603";"0";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ramesh Kuma";"IND";"0";"Post Graduate";"47";"6008954";"0";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shatrohan Lal Rawat";"Lok Dal";"0";"10th Pass";"51";"22500000";"40000";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sushil Kuma";"Aadarsh Sangram Party";"0";"12th Pass";"29";"309000";"0";"No";"MOHANLALGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
