"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Feroze Varun Gandhi";"BJP";"0";"Post Graduate";"39";"603200539";"28952800";"Yes";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Anita Tripath";"SHS";"0";"12th Pass";"58";"10559842";"5000000";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Dr. Bharat";"JD(U)";"0";"Graduate Professional";"45";"47676000";"4380000";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Dr. Sita Ram Rajput";"Sabka Dal United";"0";"Doctorate";"40";"7760000";"0";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Hemraj Verma";"SP";" 1";"Graduate";"43";"10931313";"645587";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Jafri Begum";"IND";"0";"8th Pass";"42";"16059000";"3250000";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kaif Raza Kha";"IND";"0";"Graduate";"29";"30000";"0";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mo. Hanif";"Pragatishil Samajwadi Party (Lohia)";"0";"12th Pass";"44";"16759000";"3250000";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Munesh Singh";"IND";"0";"8th Pass";"46";"2260371";"0";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sanjay Kumar Bhart";"Naitik Party";"0";"8th Pass";"50";"1606000";"72000";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Surendra Kumar Gupta";"IND";"0";"Graduate";"71";"38766636";"0";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Urvashi Singh";"IND";"0";"Graduate Professional";"34";"1522700";"0";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Varun Gandh";"IND";"0";"Graduate";"35";"3711815";"0";"No";"PILIBHIT";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
