"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Pakauri Lal";"Apna Dal (Soneylal)";"0";"Literate";"66";"23048078";"684133";"Yes";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Anita";"JD(U)";"0";"Graduate";"38";"630000";"0";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Anuj Kuma";"Bhartiya Lokmat Rashtrwadi Party";"0";"Post Graduate";"28";"1696772";"0";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ashok Kumar Kanaujiya";"CPI";"0";"Graduate Professional";"55";"2925000";"0";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhagwati Prasad Choudhary";"INC";"0";"Graduate Professional";"64";"26146670";"4105250";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhai Lal";"SP";" 1";"10th Pass";"67";"20813273";"640631";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kailash Nath";"Suheldev Bhartiya Samaj Party";"0";"8th Pass";"40";"6685000";"0";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Prabhu Dayal";"IND";"0";"12th Pass";"65";"1860000";"0";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ruby Prasad";"Pragatishil Samajwadi Party (Lohia)";"0";"Graduate";"45";"22512234";"4803492";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"S R Darapu";"All India Peoples Front (Radical)";"0";"Graduate";"64";"12713261";"105801";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sunil Kuma";"Bharat Prabhat Party";"0";"12th Pass";"42";"1176000";"0";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Vidya Prakash Kureel";"IND";"0";"Graduate";"63";"5035000";"0";"No";"ROBERTSGANJ";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
