"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dr. Shafiqur Rehman Barq";"SP";"0";"Graduate";"86";"13296671";"0";"Yes";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Bhoj Raj";"Swatantra Jantaraj Party";"0";"Post Graduate";"63";"6245326";"0";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Firoz Kha";"IND";"0";"Literate";"37";"588000";"0";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Hasan Raza";"Rashtriya Ulama Council";"0";"Graduate";"45";"418000";"0";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ilyas";"Bhartiya Hind Fauj";"0";"Literate";"45";"3476532";"0";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Karan Singh";"Pragatishil Samajwadi Party (Lohia)";"0";"12th Pass";"61";"58417903";"0";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Major Jagat Pal Singh";"INC";"0";"Graduate";"78";"27137444";"0";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mohd. Masroo";"IND";"0";"Not Given";"39";"120000";"185000";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Parameshvar Lal";"BJP";"0";"10th Pass";"64";"110088877";"4943218";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Ram Chandra";"Bharat Prabhat Party";"0";"Graduate";"27";"25100";"0";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shahla Wajid";"Ambedkar Samaj Party";"0";"12th Pass";"42";"4172000";"0";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Virendra Kuma";"IND";"0";"12th Pass";"53";"14776311";"10000";"No";"SAMBHAL";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
