"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Rajesh Verma";"BJP";" 1";"Post Graduate";"58";"73129716";"108148";"Yes";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Anil Singh";"Aam Janta Party (India)";"0";"Literate";"30";"3762806";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Geeta Dev";"Bahujan Awam Party";"0";"5th Pass";"39";"31000";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mahendra Kuma";"Awami Samta Party";"0";"12th Pass";"48";"31000";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Nakul Dubey";"BSP";" 1";"Graduate Professional";"53";"34286356";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Pyare Lal Bhargav";"IND";"0";"12th Pass";"56";"2935267";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Qaiser Jaha";"INC";" 1";"8th Pass";"45";"12560808";"4284514";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Saiyyad Abbu Bak";"Bharat Prabhat Party";"0";"Graduate";"29";"259879";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Shuchita Kuma";"IND";"0";"Doctorate";"60";"10156000";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Turab Al";"IND";"0";"Literate";"48";"917200";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Vijay Kumar Mishra";"Pragatishil Samajwadi Party (Lohia)";" 3";"8th Pass";"52";"1773960000";"100000000";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Vinod Kuma";"IND";"0";"Post Graduate";"61";"5408000";"0";"No";"SITAPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
