"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Maneka Sanjay Gandhi";"BJP";"0";"12th Pass";"62";"556926451";"11935800";"Yes";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Abu Umaima";"IND";"0";"Graduate Professional";"32";"2616000";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Akhilesh";"IND";"0";"Graduate";"55";"12907306";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Chandra Bhadra Singh";"BSP";" 6";"Post Graduate";"43";"106096052";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Dr. Sanjay Sinh";"INC";"0";"Doctorate";"67";"411199451";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Firoj Ahamad";"Kanshiram Bahujan Dal";"0";"8th Pass";"40";"859968";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Hari Lal";"Rastriya Insaaf Party";"0";"10th Pass";"38";"497224";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Kamla Dev";"Pragatishil Samajwadi Party (Lohia)";" 5";"12th Pass";"42";"18251000";"676000";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Manju Lata Pal";"Aam Janta Party (India)";"0";"10th Pass";"29";"501100";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Mathura";"IND";"0";"12th Pass";"45";"1687899";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Nasir Al";"Bharat Prabhat Party";" 1";"12th Pass";"50";"10570383";"80000";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Rishabh Shrivastava";"Bhartiya Hind Fauj";"0";"Graduate";"30";"150000";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Sunita Rajbha";"Suheldev Bhartiya Samaj Party";"0";"5th Pass";"37";"1412500";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
"Virendra";"IND";"0";"Literate";"40";"1340000";"0";"No";"SULTANPUR";"UTTAR PRADESH";"2019";"Lok Sabha";"No Comment"
