"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Ramesh Pokhriyal Nishank";"BJP";"0";"Doctorate";"59";"28739888";"16444";"Yes";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Aadil";"IND";"0";"Literate";"30";"864000";"0";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Ambrish Kuma";"INC";"0";"Post Graduate";"70";"8548506";"0";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Bachi Singh";"IND";"0";"8th Pass";"32";"40000";"0";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Bhanpal Singh";"Bahujan Mukti Party";"0";"Post Graduate";"65";"21240576";"0";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Dharmendra";"IND";"0";"Post Graduate";"32";"208000";"0";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Dr. Antriksh Sa";"BSP";"0";"Graduate Professional";"60";"869094791";"278877123";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Furkan Al";"Pragatishil Samajwadi Party (Lohia)";"0";"Post Graduate";"56";"7182794";"239092";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Lalit Kuma";"Peoples Party of India (Democratic)";"0";"Post Graduate";"31";"100000";"0";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Narendra Chauha";"Bhartiya Sarvodaya Party";"0";"Graduate";"45";"2857000";"300000";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Reenu";"Hindusthan Nirman Dal";"0";"Post Graduate";"38";"2150701";"40000";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Shishupal Singh";"IND";"0";"12th Pass";"46";"323000";"0";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Surendra Kumar Upadhayay";"UKD";"0";"Graduate";"0";"4278300";"2100000";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
"Tribirendra Singh Rawat";"Uttarakhand Kranti Dal (Democratic)";"0";"12th Pass";"30";"3941321";"0";"No";"HARIDWAR";"UTTARAKHAND";"2019";"Lok Sabha";"No Comment"
