"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Adhir Ranjan Chowdhury";"INC";" 7";"10th Pass";"63";"101315437";"8506984";"Yes";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Anisul Ambia";"SUCI(C)";"0";"Graduate";"56";"7549956";"0";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Apurba Sarka";"AITC";" 9";"12th Pass";"55";"47930322";"2119820";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Asish Singha";"SHS";"0";"12th Pass";"30";"14300";"0";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Durbadal Das";"IND";"0";"8th Pass";"43";"291110";"0";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Kashinath Dutta";"RPI(A)";"0";"12th Pass";"68";"2364062";"0";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Krishna Joyarda";"BJP";"0";"Graduate";"55";"6200";"0";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Kushadhaj Bala";"BSP";"0";"12th Pass";"48";"5281000";"45000";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Md. Ezarudd";"Jamat-E-Seratul Mustakim";"0";"Post Graduate";"79";"527866";"0";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Saikh Id Mohammad";"Revolutionary Socialist Party";"0";"Graduate";"66";"3968029";"322779";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Samir Biswas";"IND";"0";"8th Pass";"38";"10200";"0";"No";"BAHARAMPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
