"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sukanta Majumdar";"BJP";"0";"Doctorate";"40";"5825866";"2168170";"Yes";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Abdus Sadek Sarka";"INC";" 4";"Graduate Professional";"40";"21868500";"9884000";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Arpita Ghosh";"AITC";"0";"Graduate";"52";"2824728";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Bibhuti Tudu";"IND";"0";"10th Pass";"42";"1310042";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Biren Mahanta";"SUCI(C)";" 1";"Graduate Professional";"43";"3074000";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Manas Chakraborty";"CPI(ML) Red Star";" 2";"10th Pass";"55";"5000";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Muslima Khatu";"IND";"0";"10th Pass";"40";"42347";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Nalin Chandra Murmu";"BSP";"0";"10th Pass";"62";"1883293";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Naran Tudu";"JMM";"0";"10th Pass";"25";"5000";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Nubash Chandra Barma";"Kamatapur Peoples Party (United)";" 6";"12th Pass";"57";"5721500";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Ranen Barma";"Revolutionary Socialist Party";"0";"10th Pass";"50";"4632504";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Ranendra Nath Mal";"Bahujan Mukti Party";"0";"12th Pass";"65";"474000";"0";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Ranjit Kumar Mohanta";"SHS";"0";"Graduate";"61";"3987164";"63000";"No";"BALURGHAT";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
