"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Sougata Ray";"AITC";" 1";"Post Graduate";"71";"42518790";"0";"Yes";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Amit Sengupta";"Rashtriya Janasachetan Party";"0";"12th Pass";"67";"2415100";"270000";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Indranil Banerj";"SHS";"0";"Graduate";"44";"245511";"0";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Jhuma Saha";"Party for Democratic Socialism";"0";"Graduate";"41";"3790104";"0";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Naresh Chandra Baru";"BSP";"0";"Graduate";"47";"9815881";"20000";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Nepaldeb Bhattacharya";"CPI(M)";" 2";"Graduate";"67";"7743732";"0";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Samik Bhattacharya";"BJP";" 2";"Graduate";"56";"706493";"0";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Satya Brata Bandyopadhyay";"Rashtriya Janadhikar Suraksha Party";"0";"Post Graduate";"57";"4749233";"0";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Saurav Saha";"INC";" 1";"Graduate Professional";"37";"12367000";"5296000";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Shankar Das";"CPI(ML) Red Star";"0";"8th Pass";"60";"305000";"0";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Subir Das";"New Democratic Party of India";"0";"12th Pass";"50";"41200";"0";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Tarun Kumar Das";"SUCI(C)";"0";"Post Graduate";"61";"9302744";"0";"No";"DUM DUM";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
