"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Mimi Chakraborty";"AITC";"0";"Graduate";"30";"24398786";"1900788";"Yes";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Anupam Hazra";"BJP";"0";"Doctorate";"37";"13431986";"0";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Anuradha Putatunda";"Party for Democratic Socialism";"0";"Graduate";"64";"2855000";"491636";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Atanu Chatterj";"IND";"0";"Graduate Professional";"30";"710585";"0";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Bikash Ranjan Bhattacharyya";"CPI(M)";"0";"Graduate Professional";"68";"120034163";"24358926";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Bimal Krishna Mandal";"BSP";"0";"Post Graduate";"59";"4575270";"0";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Dr Nazrul Islam";"Mulnibasi Party of India";"0";"Post Graduate";"65";"13513045";"1629908";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Gopal Naska";"Rashtriya Janasachetan Party";"0";"10th Pass";"45";"164100";"0";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Kartick Naska";"IND";"0";"12th Pass";"68";"24008000";"0";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Kartik Kayal";"IND";"0";"Graduate";"42";"2103111";"0";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Mangal Kumar Sarda";"IND";"0";"Graduate";"30";"141661";"0";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Rupa Kha";"Bharatiya Nyay-Adhikar Raksha Party";"0";"Post Graduate";"50";"16720763";"11000";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Sujata Banerj";"SUCI(C)";" 1";"Graduate";"64";"3367262";"0";"No";"JADAVPUR";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
