"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"Year";"House";"Comment"
"Dibyendu Adhikari";"AITC";" 1";"Graduate";"42";"37687867";"8397501";"Yes";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Dhananjoy Dala";"IND";"0";"12th Pass";"45";"45000";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Lakshman Chandra Seth";"INC";" 5";"Doctorate";"73";"2045953";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Madhusudan Bera";"SUCI(C)";" 1";"10th Pass";"59";"199276";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Makhan Mahapatra";"BSP";"0";"12th Pass";"43";"737400";"575000";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Marphat Ali Kha";"IND";"0";"Literate";"52";"230500";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Motyar Rahama";"Bharat Prabhat Party";"0";"8th Pass";"49";"3147000";"856000";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Sankar Mondal";"Rashtriya Jan Adhikar Party";"0";"12th Pass";"36";"49000";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Satadal Metya";"SHS";"0";"Post Graduate";"31";"43100";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Sidharthasankar Naska";"BJP";" 1";"8th Pass";"50";"1903590";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Sk. Ibrahim Al";"CPI(M)";" 4";"Graduate";"31";"412438";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
"Sukomal Adak";"IND";"0";"Graduate";"33";"1143255";"0";"No";"TAMLUK";"WEST BENGAL";"2019";"Lok Sabha";"No Comment"
