"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Anila Bhendia";"INC";"0";"Post Graduate";"57";"78469355";"9612385";"Yes";"DONDI LOHARA (ST)";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Devlal Thaku";"BJP";"0";"Graduate";"49";"10593199";"1994644";"No";"DONDI LOHARA (ST)";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Girwar Singh Thaku";"Hamar Raj Party";"0";"12th Pass";"58";"8419886";"800000";"No";"DONDI LOHARA (ST)";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Ishwar Singh Thaku";"IND";"0";"10th Pass";"52";"148000";"0";"No";"DONDI LOHARA (ST)";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Kunwer Singh Nishad";"INC";"0";"Post Graduate";"52";"5431396";"350000";"Yes";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Ashok Adil";"BSP";"0";"10th Pass";"47";"12065000";"540000";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Daduram Sahu";"IND";"0";"10th Pass";"64";"4113973";"0";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Daulat Ram Kos";"IND";"0";"8th Pass";"38";"5650000";"0";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Indra Kumar Daha";"IND";"0";"12th Pass";"62";"2734000";"0";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Jaswant Sinha";"AAP";"0";"Graduate Professional";"39";"15954500";"0";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Kalpana Dev";"IND";"0";"Post Graduate";"47";"380000";"0";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Muralidhar Sahu";"Hamar Raj Party";"0";"10th Pass";"60";"6498000";"0";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Rajendra Ra";"Janta Congress Chhattisgarh (J)";"0";"Graduate";"66";"40252948";"6510487";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Raman Kumar Sahu";"IND";"0";"12th Pass";"63";"125000";"0";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Toman Lal Sahu";"Lok Janshakti Party(Ram Vilas)";"0";"Graduate";"40";"450000";"100000";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Virendra Sahu";"BJP";"0";"10th Pass";"55";"22967403";"8090466";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Yashwant Belchanda";"Johar Chhattisgarh Party";"0";"Graduate";"35";"2978000";"1080000";"No";"GUNDERDEHI";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Sangeeta Sinha";"INC";"0";"Graduate";"48";"51222958";"5442695";"Yes";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Bhagwati Sahu";"IND";"0";"Graduate Professional";"40";"10994002";"9049";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Chandrabhan Sahu";"Johar Chhattisgarh Party";"0";"10th Pass";"32";"355000";"0";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Chovendra Kumar Sahu";"AAP";" 1";"Graduate";"38";"1801022";"350000";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Dhananjay Dilliwa";"IND";"0";"10th Pass";"54";"9674000";"2800000";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Gaukaran Gangb";"Azad Janata Party";"0";"Graduate Professional";"32";"105800";"0";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Kamalkant Sahu";"IND";"0";"Graduate";"57";"48098817";"1907591";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Manoj Kumar Sahu";"Lok Jan Shakti Party";"0";"10th Pass";"38";"77000";"60000";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Meena Satyendra Sahu";"IND";"0";"10th Pass";"49";"41050811";"184016";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Puneshwar Kumar Dewanga";"Gondvana Gantantra Party";"0";"12th Pass";"51";"3650000";"0";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Rakesh Kumar Yadav";"BJP";"0";"12th Pass";"54";"12863859";"800000";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Ravindra Kumar Maurya";"IND";"0";"Graduate";"29";"110000";"0";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Shabnam Rani Gou";"IND";"0";"12th Pass";"35";"610763";"74400";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Vinod Kumar Nagwansh";"Hamar Raj Party";" 1";"Post Graduate";"46";"14594611";"4044466";"No";"SANJARI BALOD";"CHHATTISGARH";"BALOD";"2023";"Chhattisgarh";"No Comment"
"Tank Ram Verma";"BJP";"0";"Post Graduate";"61";"24735862";"0";"Yes";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Dasrath Lal Jaiswal";"Bhartiya Shakti Chetna Party";"0";"10th Pass";"44";"1796000";"150000";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Durgeshwari Devi Dhritlaha";"Gana Suraksha Party";"0";"10th Pass";"51";"1630000";"0";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Gaukaran Nishad";"Bhrashtachar Mukti Morcha";"0";"Post Graduate";"36";"1435921";"50000";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Indrajit Sahu";"IND";"0";"12th Pass";"33";"475000";"0";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Narottam Das Banja";"IND";"0";"Graduate";"62";"2550000";"1000000";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Nilamsanjay Bharatdwaj";"IND";"0";"10th Pass";"43";"2308350";"255000";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Rajkumar Pat";"BSP";"0";"Post Graduate";"53";"2880367";"0";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Santosh Yadu";"AAP";" 2";"12th Pass";"34";"8291511";"3115000";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Shailesh Nitin Trived";"INC";"0";"Graduate Professional";"60";"106228998";"31297536";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Yogesh Kumar Sahu";"Janta Congress Chhattisgarh (J)";"0";"12th Pass";"28";"1799000";"288500";"No";"BALODA BAZAR";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Indra Kumar Sao";"INC";" 1";"Post Graduate";"56";"24506891";"550000";"Yes";"BHATAPARA";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Byasnarayan Verma";"IND";"0";"12th Pass";"47";"140000";"0";"No";"BHATAPARA";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Chandrakant Yadu (Baba Bhai)";"Johar Chhattisgarh Party";" 1";"Others";"51";"7520216";"20000";"No";"BHATAPARA";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Dayashankar Nishad";"Bhartiya Shakti Chetna Party";"0";"Post Graduate";"64";"7298838";"177000";"No";"BHATAPARA";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
"Dev Prasad Koshl";"IND";"0";"8th Pass";"35";"371000";"0";"No";"BHATAPARA";"CHHATTISGARH";"BALODABAZAR- BHATAPARA";"2023";"Chhattisgarh";"No Comment"
