"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Carlos Alvares Ferreira";"INC";"0";"Graduate Professional";"55";"214277799";"1244176";"Yes";"ALDONA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Glenn John Vijay Ambrose E Souza Ticlo";"BJP";"0";"Graduate";"59";"149163839";"41920121";"No";"ALDONA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Govind Govenka";"SHS";"0";"10th Pass";"44";"1292575";"0";"No";"ALDONA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Kiran Kandolka";"AITC";"0";"12th Pass";"50";"120039562";"64080338";"No";"ALDONA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Mahesh Satelka";"AAP";"0";"Graduate";"43";"3975220";"250000";"No";"ALDONA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Pooja Mayeka";"IND";"0";"12th Pass";"42";"15257877";"1929436";"No";"ALDONA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Dr. Chandrakant Shetye";"IND";"0";"Post Graduate";"50";"596301413";"34355590";"Yes";"BICHOLIM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Anish Avinash Naik";"Revolutionary Goans Party";" 1";"Graduate";"32";"659513";"0";"No";"BICHOLIM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Meghashyam Vaman Raut";"INC";" 7";"Others";"47";"93799566";"3148789";"No";"BICHOLIM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Naresh Rajaram Sawal";"Maharashtrawadi Gomantak";"0";"12th Pass";"56";"150504810";"38175962";"No";"BICHOLIM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Rajesh Tulshidas Patneka";"BJP";"0";"12th Pass";"58";"14947177";"94780";"No";"BICHOLIM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Michael Vincent Lobo";"INC";" 3";"12th Pass";"45";"929101865";"288735436";"Yes";"CALANGUTE";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Anthony Menezes";"AITC";"0";"Others";"58";"357343421";"19628708";"No";"CALANGUTE";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Joseph Robert Sequeira";"BJP";" 3";"10th Pass";"61";"145859126";"1100000";"No";"CALANGUTE";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Marcelino Francisco Gonsalves";"Revolutionary Goans Party";"0";"12th Pass";"52";"12403869";"100000";"No";"CALANGUTE";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Ricardo Dsouza";"IND";"0";"12th Pass";"54";"126511847";"38506152";"No";"CALANGUTE";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Roshan Luke Mathias";"Goencho Swabhiman Party";" 2";"12th Pass";"43";"250614301";"0";"No";"CALANGUTE";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Sudesh Suresh Mayeka";"AAP";"0";"Graduate";"33";"6255446";"2999752";"No";"CALANGUTE";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Rajesh Faldessai";"INC";" 1";"12th Pass";"46";"57395617";"28577010";"Yes";"CUMBARJUA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Chhagan Narayan Naik";"Revolutionary Goans Party";"0";"Others";"54";"2141834";"200000";"No";"CUMBARJUA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Gorakhanath Suresh Kerka";"AAP";" 2";"Others";"50";"150652087";"7407151";"No";"CUMBARJUA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Janita Pandurang Madkaika";"BJP";"0";"10th Pass";"51";"322073840";"14407328";"No";"CUMBARJUA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Maria Christina Varela";"Goencho Swabhiman Party";"0";"Graduate";"62";"33096926";"0";"No";"CUMBARJUA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Rohan Ranganath Harmalka";"IND";" 2";"10th Pass";"31";"121358047";"18860978";"No";"CUMBARJUA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Samil Audumber Volvaik";"AITC";"0";"Graduate";"51";"59320797";"7002743";"No";"CUMBARJUA";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Premendra Vishnu Shet";"BJP";"0";"Graduate";"50";"44101862";"16136133";"Yes";"MAEM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Deepkumar D. Mapa";"IND";"0";"8th Pass";"40";"752620";"255021";"No";"MAEM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Milind Tulshidas Pilgaonka";"IND";"0";"Graduate";"47";"491168512";"6985555";"No";"MAEM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Pravin Zanty";"Maharashtrawadi Gomantak";"0";"Graduate";"55";"212372893";"0";"No";"MAEM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Rajesh Tulshidas Kalangutka";"AAP";"0";"Post Graduate";"49";"7041009";"3699500";"No";"MAEM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Rohan Vaman Sawaika";"IND";"0";"10th Pass";"41";"3180500";"1220000";"No";"MAEM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Santosh Kumar Sawant";"Goa Forward Party";"0";"10th Pass";"48";"18846960";"10964994";"No";"MAEM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
"Sheela Sandeep Ghatwal";"IND";"0";"Graduate";"50";"2955720";"0";"No";"MAEM";"GOA";"NORTH GOA";"2022";"Goa";"No Comment"
