"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Jim M Sangma";"NPP";"0";"Graduate Professional";"46";"14273046";"256395";"Yes";"RONGJENG (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Andreash G. Mom";"UDP";"0";"12th Pass";"59";"13023241";"0";"No";"RONGJENG (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Jebing G Mom";"INC";"0";"12th Pass";"53";"1078354";"0";"No";"RONGJENG (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Rapiush Ch. Sangma";"BJP";"0";"Graduate";"42";"979041";"0";"No";"RONGJENG (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Sengnam M. Marak";"AITC";"0";"Graduate";"45";"4334977";"642739";"No";"RONGJENG (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"alseng M. Sangma";"IND";"0";"Graduate Professional";"41";"738158";"0";"No";"RONGJENG (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Dr. Mukul Sangma";"AITC";"0";"Graduate Professional";"57";"282099106";"10978934";"Yes";"SONGSAK (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Champion R. Sangma";"INC";" 12";"Post Graduate";"43";"13540623";"0";"No";"SONGSAK (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Nihim D Shira";"NPP";"0";"Graduate Professional";"45";"20714621";"0";"No";"SONGSAK (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Sarenni Marak";"Republican Party of India";"0";"10th Pass";"46";"4143000";"0";"No";"SONGSAK (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Thomas Marak";"BJP";"0";"Post Graduate";"47";"1768000";"0";"No";"SONGSAK (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Marcuise N Marak";"NPP";"0";"12th Pass";"54";"37274332";"0";"Yes";"WILLIAM NAGAR (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Alphonsush R. Marak";"AITC";"0";"12th Pass";"41";"7324907";"600000";"No";"WILLIAM NAGAR (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Ballensing Ch Marak";"Republican Party of India";"0";"8th Pass";"53";"13199275";"0";"No";"WILLIAM NAGAR (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Deborah C. Marak";"INC";" 1";"Graduate";"57";"200266991";"0";"No";"WILLIAM NAGAR (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Raknang Ch. Mom";"BJP";"0";"12th Pass";"25";"122000";"0";"No";"WILLIAM NAGAR (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Robinus T Sangma";"JD(U)";"0";"Graduate Professional";"54";"7756168";"0";"No";"WILLIAM NAGAR (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Rudreswar Ch. Mom";"IND";"0";"Graduate Professional";"42";"23647295";"510091";"No";"WILLIAM NAGAR (ST)";"MEGHALAYA";"EAST GARO HILLS";"2023";"Meghalaya";"No Comment"
"Kyrmen Shylla";"UDP";"0";"10th Pass";"34";"19554360";"1563041";"Yes";"KHLIEHRIAT (ST)";"MEGHALAYA";"EAST JAINTIA HILLS";"2023";"Meghalaya";"No Comment"
"Bhayes Chyrmang";"BJP";"0";"8th Pass";"52";"109769";"0";"No";"KHLIEHRIAT (ST)";"MEGHALAYA";"EAST JAINTIA HILLS";"2023";"Meghalaya";"No Comment"
