"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Vasudev Devnani";"BJP";"0";"Graduate Professional";"75";"63398022";"6500000";"Yes";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Balveer Singh Shekhawat";"IND";" 1";"12th Pass";"75";"6718750";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Daya Mohan Garg";"IND";"0";"12th Pass";"65";"6704885";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Devendra";"Right to Recall Party";"0";"12th Pass";"51";"60000";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Gyanchand Saraswat";"IND";"0";"12th Pass";"53";"1426561";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Hariram";"Rashtriya Loktantrik Party";"0";"Illiterate";"71";"31032021";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Kundan Vaishnav";"IND";"0";"Post Graduate";"40";"1917389";"199754";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Lal Singh";"IND";"0";"12th Pass";"35";"1316864";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Mahendra Singh Ralawata";"INC";"0";"Graduate";"64";"100894248";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Mewalal";"Ambedkarite Party of India";"0";"8th Pass";"73";"1470000";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Ramesh Kumar Tehla";"AAP";"0";"Post Graduate";"43";"28391983";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Sushila";"BSP";"0";"Post Graduate";"37";"173500";"0";"No";"AJMER NORTH";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Anita Bhadel";"BJP";"0";"Post Graduate";"52";"30063950";"2193569";"Yes";"AJMER SOUTH (SC)";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Dr. Dropdi Kol";"INC";"0";"Doctorate";"55";"1593311";"0";"No";"AJMER SOUTH (SC)";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
"Hemant Kumar Solank";"BSP";"0";"Graduate";"37";"69020";"0";"No";"AJMER SOUTH (SC)";"RAJASTHAN";"AJMER";"2023";"Rajasthan";"No Comment"
