"Candidate";"Party";"Criminal Cases";"Education";"Age";"Total Assets";"Liabilities";"Winner";"Constituency";"State";"District";"Year";"House";"Comment"
"Suman Kanjilal";"BJP";" 12";"Graduate Professional";"50";"4072333";"0";"Yes";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Abinash Das";"IND";"0";"8th Pass";"58";"372751";"0";"No";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Ashim Roy";"IND";"0";"Graduate";"39";"12981538";"2500864";"No";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Deba Prasad Roy";"INC";"0";"Graduate";"72";"11891083";"0";"No";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Kushal Kumar Roy";"IND";"0";"10th Pass";"42";"781185";"300000";"No";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Nikhil Chandra Raib";"IND";"0";"10th Pass";"59";"271894";"0";"No";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Pijush Kanti Sarma";"SUCI(C)";"0";"Graduate";"55";"47500";"0";"No";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Rinku Ghosh";"IND";"0";"Post Graduate";"39";"6095735";"0";"No";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Sourav Chakraborty (Ghutis)";"AITC";" 1";"Doctorate";"48";"51769412";"0";"No";"ALIPURDUARS";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
"Dipak Barman";"BJP";" 8";"Post Graduate";"46";"8833243";"2976991";"Yes";"FALAKATA (SC)";"WEST BENGAL";"ALIPURDUAR";"2021";"West Bengal";"No Comment"
